Date,Actual,RandomForest,XGBoost,Actual_ARIMA,ARIMA
2025-02-04,,228.710703125,226.25464,,
2025-02-05,,227.32941360473632,226.86348,,
2025-02-06,,235.4359506225586,233.38773,,
2025-02-07,,230.0557797241211,231.78506,,
2025-02-10,,227.36636840820313,226.21426,,
2025-02-11,,232.18149826049805,234.41231,,
2025-02-12,,237.34374923706054,234.20769,,
2025-02-13,,241.82531127929687,242.34607,,
2025-02-14,,242.64882141113281,243.11522,,
2025-02-17,,242.64882141113281,243.11522,,
2025-02-18,,242.54853134155275,243.11522,,
2025-02-19,,242.97815963745117,242.27034,,
2025-02-20,,247.36683181762695,242.27034,,
2025-02-21,,246.5673127746582,242.27034,,
2025-02-24,,246.86567321777343,247.44463,,
2025-02-25,,246.8261167907715,247.44463,,
2025-02-26,,241.22427337646485,242.34607,,
2025-02-27,,235.86777114868164,238.90288,,
2025-02-28,,241.82531127929687,242.34607,,
2025-03-03,,236.33625625610352,238.88542,,
2025-03-04,,233.2178695678711,228.27487,,
2025-03-05,,230.5640090942383,230.29666,,
2025-03-06,,230.36818222045898,234.64801,,
2025-03-07,,238.47339874267578,238.88542,,
2025-03-10,,227.48515075683594,231.78506,,
2025-03-11,,225.2410855102539,225.35027,,
2025-03-12,,219.52114685058595,217.91731,,
2025-03-13,,214.07809860229492,212.66028,,
2025-03-14,,211.2157308959961,210.44493,,
2025-03-17,,209.56337799072264,209.27419,,
2025-03-18,,214.64959335327148,214.911,,
2025-03-19,,216.598194732666,209.27419,,
2025-03-20,,209.57874404907227,209.27419,,
2025-03-21,,219.9886360168457,220.75467,,
2025-03-24,,222.62349227905273,220.1801,,
2025-03-25,,223.53863636779784,223.4017,,
2025-03-26,,221.48452026367187,222.4266,,
2025-03-27,,224.39187109374998,223.4017,,
2025-03-28,,218.34177444458007,217.40543,,
2025-03-31,,222.61318297322592,216.59686,,
2025-04-01,,223.63074325561524,222.78278,,
2025-04-02,,224.39187109374998,223.4017,,
2025-04-03,,210.91723190307619,192.85052,,
2025-04-04,,189.26419815063477,189.19621,,
2025-04-07,,182.36132034301758,181.40895,,
2025-04-08,,177.63673446655272,182.27213,,
2025-04-09,,193.19189666748048,192.85052,,
2025-04-10,,190.40357635498046,191.66914,,
2025-04-11,,193.19189666748048,192.85052,,
2025-04-14,,210.91723190307619,192.85052,,
2025-04-15,,210.77660461425782,192.85052,,
2025-04-16,,195.80321990966797,195.92639,,
