Date,Actual,RandomForest,XGBoost,Actual_Prophet,Prophet
2025-03-06,173.66000366210938,173.82621215820313,174.71727,172.1517333984375,181.51532020509381
2025-03-07,165.8699951171875,174.28587615966796,174.34276,173.66000366210938,181.6310467149793
2025-03-10,164.0399932861328,164.25522018432616,165.99905,165.8699951171875,177.5510945708587
2025-03-11,167.11000061035156,162.13508438110352,161.83861,164.0399932861328,177.39496231853258
2025-03-12,162.75999450683594,166.36702362060547,162.94473,167.11000061035156,180.89180497225763
2025-03-13,165.49000549316406,159.49814682006837,163.8343,162.75999450683594,181.67864727797658
2025-03-14,164.2899932861328,165.8729622955322,166.02972,165.49000549316406,181.22758687568958
2025-03-17,160.6699981689453,165.7102749633789,162.29356,164.2899932861328,180.42240351865453
2025-03-18,163.88999938964844,162.38858917236328,160.98055,160.6699981689453,180.53813002853758
2025-03-19,162.8000030517578,162.03879028320313,164.71394,163.88999938964844,176.45817788442923
2025-03-20,163.99000549316406,159.49944900512696,157.42917,162.8000030517578,176.30204563209048
2025-03-21,167.67999267578125,162.05995712280273,164.71394,163.99000549316406,179.79888828582475
2025-03-24,170.55999755859375,168.68841247558595,170.2706,167.67999267578125,180.5857305915386
2025-03-25,165.05999755859375,169.1769924926758,168.65541,170.55999755859375,180.13467018924982
2025-03-26,162.24000549316406,165.08408340454102,165.46931,165.05999755859375,179.3294868322131
2025-03-27,154.3300018310547,162.38812744140625,162.88716,162.24000549316406,179.44521334209762
2025-03-28,154.63999938964844,159.3915869140625,155.51042,154.3300018310547,175.36526119798827
2025-03-31,157.07000732421875,159.40293731689454,157.21896,154.63999938964844,175.20912894565544
2025-04-01,157.0399932861328,156.51325286865233,155.9294,157.07000732421875,178.7059715993851
2025-04-02,150.72000122070312,156.51325286865233,155.9294,157.0399932861328,179.49281390509802
2025-04-03,145.60000610351562,152.98802536010743,148.43921,150.72000122070312,179.04175350281278
2025-04-04,146.75,150.11134140014647,150.81024,145.60000610351562,178.2365701457741
2025-04-07,144.6999969482422,150.11134140014647,150.81024,146.75,178.35229665565413
2025-04-08,158.7100067138672,150.11134140014647,150.81024,144.6999969482422,174.27234451154436
2025-04-09,152.82000732421875,158.06063232421874,157.78133,158.7100067138672,174.1162122592168
2025-04-10,157.13999938964844,156.3099038696289,154.25722,152.82000732421875,177.613054912935
2025-04-11,159.07000732421875,156.99316680908203,157.57042,157.13999938964844,178.39989721866007
2025-04-14,156.30999755859375,159.81731369018556,159.38887,159.07000732421875,177.94883681637302
2025-04-15,153.3300018310547,152.9191358947754,156.62158,156.30999755859375,177.14365345933513
2025-04-16,151.16000366210938,157.34701477050783,154.25722,153.3300018310547,177.25937996921417
