Date,ARIMA
2025-04-17,193.45641787527356
2025-04-18,192.47612989122433
2025-04-21,192.94662820740263
2025-04-22,193.43016396640633
2025-04-23,193.7548725345259
2025-04-24,193.8351691472249
2025-04-25,193.8138387370117
2025-04-28,193.75553015877622
2025-04-29,193.71743176758912
2025-04-30,193.70282201666132
2025-05-01,193.70399012421552
2025-05-02,193.7098506970936
2025-05-05,193.71463933987104
2025-05-06,193.71670500322216
2025-05-07,193.7168575235809
2025-05-08,193.71626202107743
2025-05-09,193.71569594389604
2025-05-12,193.71541018018695
2025-05-13,193.71535953732624
2025-05-14,193.7154146415178
2025-05-15,193.71548018944358
2025-05-16,193.71551787313234
2025-05-19,193.7155278159778
2025-05-20,193.71552333852844
2025-05-21,193.71551600003448
2025-05-22,193.71551118584148
2025-05-23,193.7155095590279
2025-05-26,193.71550982020602
2025-05-27,193.71551061245256
2025-05-28,193.71551120920947
