Date,Actual,RandomForest,XGBoost
2025-02-05,232.9638671875,227.512059173584,226.9113
2025-02-06,227.3800048828125,235.90244171142578,233.28543
2025-02-07,227.64999389648438,230.32978652954102,231.74333
2025-02-10,232.6199951171875,227.91908401489258,226.22969
2025-02-11,236.8699951171875,233.02424942016603,234.42368
2025-02-12,241.52999877929688,237.07743453979492,234.34615
2025-02-13,244.60000610351562,241.81941802978517,242.2809
2025-02-14,244.47000122070312,242.7215417480469,243.1448
2025-02-18,244.8699951171875,242.67039779663085,243.1448
2025-02-19,245.8300018310547,243.04488693237306,242.23235
2025-02-20,245.5500030517578,247.4745133972168,242.23235
2025-02-21,247.10000610351562,246.23148330688477,242.23235
2025-02-24,247.0399932861328,246.8196240234375,247.43913
2025-02-25,240.36000061035156,246.7656834411621,247.43913
2025-02-26,237.3000030517578,241.18241928100585,242.2809
2025-02-27,241.83999633789062,235.77956817626952,238.74588
2025-02-28,238.02999877929688,241.81941802978517,242.2809
2025-03-03,235.92999267578125,237.0178076171875,238.8197
2025-03-04,235.74000549316406,232.54074249267578,228.27179
2025-03-05,235.3300018310547,229.20446075439452,230.31387
2025-03-06,239.07000732421875,230.035224609375,234.58896
2025-03-07,227.47999572753906,238.39648376464845,238.8197
2025-03-10,220.83999633789062,227.63203201293945,231.74333
2025-03-11,216.97999572753906,224.44106842041015,225.24048
2025-03-12,209.67999267578125,219.55413818359375,217.84305
2025-03-13,213.49000549316406,214.4338998413086,212.68602
2025-03-14,214.0,211.08774978637695,210.3632
2025-03-17,212.69000244140625,209.85549331665038,209.55397
2025-03-18,215.24000549316406,214.51365173339843,215.03685
2025-03-19,214.10000610351562,216.74393997192382,209.55397
2025-03-20,218.27000427246094,209.9015914916992,209.55397
2025-03-21,220.72999572753906,219.60213455200196,220.79288
2025-03-24,223.75,222.0626956176758,220.12599
2025-03-25,221.52999877929688,223.65673837062292,223.42717
2025-03-26,223.85000610351562,222.26447814941406,222.40057
2025-03-27,217.89999389648438,224.52213976832797,223.42717
2025-03-28,222.1300048828125,218.3142660522461,217.25095
2025-03-31,223.19000244140625,222.44122619628905,216.59782
2025-04-01,223.88999938964844,223.69631546020508,222.80624
2025-04-02,203.19000244140625,224.52213976832797,223.42717
2025-04-03,188.3800048828125,210.91833618164063,192.83981
2025-04-04,181.4600067138672,189.26420135498046,189.20224
2025-04-07,172.4199981689453,182.36131134033204,181.4161
2025-04-08,198.85000610351562,177.76660781860352,182.26259
2025-04-09,190.4199981689453,193.31268081665038,192.83981
2025-04-10,198.14999389648438,190.45330932617188,191.62779
2025-04-11,202.52000427246094,193.31268081665038,192.83981
2025-04-14,202.13999938964844,210.91833618164063,192.83981
2025-04-15,194.27000427246094,210.77770874023437,192.83981
2025-04-16,196.97999572753906,195.83919799804687,195.88695
